datahora,uf_nome,municipio_nome,longitude,latitude,co_ppb,no2_ppb,o3_ppb,pm25_ugm3,so2_ugm3,precipitacao_mmdia,temperatura_c,umidade_relativa_percentual,vento_direcao_grau,vento_velocidade_ms,RiscoFogoMedia
2017-01-01 06:00:00,MATO GROSSO,ARAGUAIANA,-51.8341,-15.7291,213.3,2.8,2.4,13.7,0.3,,22.9,96,185,1.7,0.3
2017-01-01 06:00:00,MATO GROSSO,MARCELÂNDIA,-54.5202,-11.0794,174.8,1.2,1.6,9.6,0.1,,21.6,99,344,1.4,0.20000000000000004
2017-01-01 06:00:00,MATO GROSSO,NOVA UBIRATÃ,-55.2539,-13.0348,174.0,0.8,4.0,10.0,0.2,,21.5,99,348,1.7,0.0
2017-01-01 06:00:00,MATO GROSSO,UNIÃO DO SUL,-54.3696,-11.5309,161.8,0.4,2.7,8.2,0.1,,21.6,100,332,1.4,0.018181818181818184
2017-01-01 12:00:00,MATO GROSSO,POXORÉU,-54.3925,-15.8291,129.0,0.5,12.2,0.0,0.1,,26.3,94,27,0.9,0.35
2017-01-01 18:00:00,MATO GROSSO,ALTO BOA VISTA,-51.3744,-11.6724,109.4,0.0,18.3,0.0,0.2,,31.7,86,127,1.0,0.2
2017-01-01 18:00:00,MATO GROSSO,BARRA DO GARÇAS,-52.2615,-15.8916,107.0,0.0,21.0,0.2,0.1,,34.5,79,14,0.8,0.1
2017-01-01 18:00:00,MATO GROSSO,CAMPO VERDE,-55.1591,-15.5431,116.8,0.1,16.1,1.8,0.2,,27.7,94,335,1.6,0.39999999999999997
2017-01-01 18:00:00,MATO GROSSO,COLNIZA,-59.2197,-9.4561,124.2,0.0,11.0,8.6,0.0,,30.0,90,6,1.4,0.0
2017-01-01 18:00:00,MATO GROSSO,FELIZ NATAL,-54.939,-12.3802,114.3,0.0,14.3,6.1,0.1,,30.4,89,39,0.7,0.10000000000000002
2017-01-01 18:00:00,MATO GROSSO,GAÚCHA DO NORTE,-53.2544,-13.1814,108.6,0.0,15.2,0.4,0.1,,29.5,92,69,0.6,0.2
2017-01-01 18:00:00,MATO GROSSO,ITANHANGÁ,-56.6418,-12.2323,126.6,0.0,11.1,7.7,0.1,,32.3,84,340,1.7,0.0
2017-01-01 18:00:00,MATO GROSSO,MARCELÂNDIA,-54.5202,-11.0794,108.6,0.0,14.6,6.7,0.2,,29.7,91,49,0.7,0.0
2017-01-01 18:00:00,MATO GROSSO,NOVA MARINGÁ,-57.0923,-13.0314,129.9,0.0,9.9,6.9,0.1,,30.2,88,328,1.9,0.0
2017-01-01 18:00:00,MATO GROSSO,NOVA UBIRATÃ,-55.2539,-13.0348,118.4,0.0,14.0,6.9,0.1,,30.0,89,6,0.7,0.0
2017-01-01 18:00:00,MATO GROSSO,NOVO SÃO JOAQUIM,-53.0194,-14.9054,109.4,0.0,18.3,0.6,0.1,,30.9,88,23,0.8,0.3
2017-01-01 18:00:00,MATO GROSSO,PEIXOTO DE AZEVEDO,-54.992,-10.2429,112.7,0.0,13.7,8.8,0.2,,30.5,88,39,1.0,0.3
2017-01-01 18:00:00,MATO GROSSO,POXORÉU,-54.3925,-15.8291,116.8,0.1,17.8,1.9,0.1,,28.3,93,340,1.5,0.3
2017-01-01 18:00:00,MATO GROSSO,PRIMAVERA DO LESTE,-54.2994,-15.5614,122.5,0.1,18.8,2.8,0.1,,28.2,93,347,1.4,0.4000000000000001
2017-01-01 18:00:00,MATO GROSSO,SANTO AFONSO,-57.0005,-14.4947,123.3,0.0,13.5,6.5,0.1,,30.2,90,336,2.4,0.0
