datahora,uf_nome,municipio_nome,longitude,latitude,co_ppb,no2_ppb,o3_ppb,pm25_ugm3,so2_ugm3,precipitacao_mmdia,temperatura_c,umidade_relativa_percentual,vento_direcao_grau,vento_velocidade_ms,RiscoFogoMedia
2018-01-01 12:00:00,MATO GROSSO,ARIPUANÃ,-59.444,-10.1758,142.2,0.0,4.4,9.2,0.0,,24.9,98,12,1.1,0.1
2018-01-01 12:00:00,MATO GROSSO,COLNIZA,-59.2197,-9.4561,137.6,0.0,5.0,8.5,0.0,,24.9,98,17,0.6,0.06666666666666667
2018-01-01 12:00:00,MATO GROSSO,SANTA TEREZINHA,-50.514,-10.4704,130.0,0.0,13.9,10.2,0.0,,25.8,98,75,1.7,0.0
2018-01-01 12:00:00,MATO GROSSO,VILA BELA DA SANTÍSSIMA TRINDADE,-59.9504,-15.0068,130.3,0.1,5.6,9.2,0.0,,24.8,95,332,4.4,0.0
2018-01-02 00:00:00,MATO GROSSO,COLNIZA,-59.2197,-9.4561,259.5,1.4,2.3,37.4,0.2,0.0,24.0,99,56,0.8,0.0
2018-01-02 12:00:00,MATO GROSSO,COLNIZA,-59.2197,-9.4561,342.5,1.1,8.5,19.4,0.1,,24.9,97,250,0.5,0.0
2018-01-03 00:00:00,MATO GROSSO,DIAMANTINO,-56.4364,-14.4036,153.7,1.3,3.5,8.8,0.1,18.0,24.9,98,295,1.8,0.15000000000000002
2018-01-03 00:00:00,MATO GROSSO,JUÍNA,-58.757,-11.4231,145.3,0.4,3.4,7.3,0.0,9.0,23.9,99,160,0.6,0.0
2018-01-03 00:00:00,MATO GROSSO,NOVA GUARITA,-55.4043,-10.3102,165.0,1.2,2.6,11.7,0.1,11.0,24.0,98,84,2.3,0.5
2018-01-03 00:00:00,MATO GROSSO,ROSÁRIO OESTE,-56.4236,-14.8259,152.5,1.7,3.7,9.1,0.1,19.0,25.3,98,285,2.2,0.07
2018-01-04 00:00:00,MATO GROSSO,SANTA RITA DO TRIVELATO,-55.2715,-13.8137,130.5,0.4,5.2,2.2,0.0,2.0,23.4,98,255,2.0,0.0
2018-01-05 00:00:00,MATO GROSSO,COLNIZA,-59.2197,-9.4561,160.6,0.2,1.9,12.3,0.0,1.0,22.3,98,45,1.3,0.0
2018-01-05 00:00:00,MATO GROSSO,NOVO SANTO ANTÔNIO,-50.9705,-12.291,163.9,0.8,2.1,4.5,0.0,0.0,25.5,97,54,1.0,0.0
2018-01-05 00:00:00,MATO GROSSO,RONDOLÂNDIA,-61.4597,-10.8429,157.0,0.6,3.6,11.4,0.1,0.0,24.3,96,14,1.2,0.0
2018-01-05 12:00:00,MATO GROSSO,ARIPUANÃ,-59.444,-10.1758,162.5,0.0,2.5,10.6,0.0,,23.7,98,38,2.3,0.0
2018-01-05 12:00:00,MATO GROSSO,COLNIZA,-59.2197,-9.4561,156.1,0.0,3.3,8.9,0.0,,23.8,98,53,2.1,0.08
2018-01-05 12:00:00,MATO GROSSO,RONDOLÂNDIA,-61.4597,-10.8429,154.2,0.2,4.0,1.7,0.0,,24.5,97,11,3.1,0.0
2018-01-06 00:00:00,MATO GROSSO,ARIPUANÃ,-59.444,-10.1758,154.0,0.1,3.7,11.8,0.0,0.0,23.2,99,19,1.2,0.1
2018-01-06 00:00:00,MATO GROSSO,COLNIZA,-59.2197,-9.4561,156.2,0.1,2.6,14.0,0.0,0.0,23.1,99,28,1.5,0.06363636363636364
2018-01-06 00:00:00,MATO GROSSO,RONDOLÂNDIA,-61.4597,-10.8429,161.1,0.6,4.8,8.6,0.1,17.0,23.7,98,26,1.9,0.06666666666666668
2018-01-07 00:00:00,MATO GROSSO,COMODORO,-59.7869,-13.6581,138.9,0.1,10.1,12.0,0.0,35.0,23.0,98,319,1.7,0.0
2018-01-07 00:00:00,MATO GROSSO,PORTO ESPERIDIÃO,-58.4693,-15.8522,155.7,0.9,5.7,13.6,0.1,13.0,25.2,97,342,2.3,0.6
2018-01-08 12:00:00,MATO GROSSO,COMODORO,-59.7869,-13.6581,138.3,0.1,5.4,5.2,0.0,,22.0,99,311,1.0,0.0
2018-01-11 00:00:00,MATO GROSSO,ALTO GARÇAS,-53.5294,-16.947,110.3,2.3,2.8,12.7,0.1,0.0,23.3,97,116,1.9,0.20000000000000004
2018-01-11 12:00:00,MATO GROSSO,COLNIZA,-59.2197,-9.4561,105.7,0.0,11.8,12.0,0.0,,24.1,99,200,1.5,0.0
2018-01-16 00:00:00,MATO GROSSO,DIAMANTINO,-56.4364,-14.4036,128.3,1.2,4.5,13.1,0.1,8.0,25.8,95,78,1.4,0.0
2018-01-16 00:00:00,MATO GROSSO,NOVA UBIRATÃ,-55.2539,-13.0348,121.4,0.7,2.5,12.5,0.0,10.0,23.4,99,117,1.6,0.05
2018-01-16 00:00:00,MATO GROSSO,SORRISO,-55.7234,-12.5445,132.8,0.9,1.6,14.0,0.1,11.0,23.5,99,113,1.3,0.0
2018-01-16 00:00:00,MATO GROSSO,SÃO JOSÉ DO RIO CLARO,-56.7214,-13.4467,378.7,2.8,2.0,62.9,0.6,2.0,23.9,98,71,1.0,0.0
2018-01-17 00:00:00,MATO GROSSO,BRASNORTE,-58.005,-12.1227,133.1,0.4,2.2,10.0,0.0,0.0,25.7,97,174,0.7,0.0
2018-01-17 00:00:00,MATO GROSSO,NOVA MONTE VERDE,-57.4673,-9.9797,149.7,0.3,2.5,12.0,0.0,2.0,26.2,96,183,1.1,0.1
2018-01-17 00:00:00,MATO GROSSO,NOVA SANTA HELENA,-55.1781,-10.8497,115.0,0.5,7.1,11.5,0.1,5.0,24.5,98,167,1.1,0.06666666666666667
2018-01-18 00:00:00,MATO GROSSO,CANARANA,-52.2691,-13.5565,107.7,0.4,11.4,11.6,0.1,0.0,25.5,95,355,1.5,0.32
2018-01-18 00:00:00,MATO GROSSO,GAÚCHA DO NORTE,-53.2544,-13.1814,110.8,0.1,8.5,12.9,0.0,0.0,24.2,99,324,1.6,0.3
